Name,Class,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20
potato001.png,p,0.1150419,0.2053055,0.2477826,0.3132679,0.2212344,0.2070754,0.3061884,0.1769875,0.198226,0.2920294,0.1345105,0.113272,0.1256611,0.155749,0.2230043,0.3309667,0.2654813,0.1026528,0.2743307,0.2389332
potato002.png,p,0.1680519,0.5041558,0.1213708,0.256746,0.130707,0.1120346,0.1353752,0.09803028,0.3034271,0.17272,0.3127633,0.214733,0.08869407,0.05601731,0.2660822,0.2474098,0.09803028,0.3080952,0.08402596,0.2427417
potato003.png,p,0.1010706,0.06520685,0.4108031,0.1804056,0.2423521,0.1086781,0.4401462,0.1401947,0.1858395,0.2869101,0.1945338,0.1228062,0.1369344,0.2064883,0.2684349,0.1717114,0.2358314,0.0956367,0.2934308,0.1293269
potato004.png,p,0.1085673,0.09186465,0.2338373,0.1837293,0.2922966,0.1837293,0.2755939,0.2338373,0.09186465,0.4092152,0.09186465,0.1837293,0.1586753,0.3173506,0.2922966,0.1670266,0.1670266,0.05845932,0.3674586,0.1336213
potato005.png,p,0.04920678,0.09021243,0.1968271,0.07381018,0.07381018,0.4018554,0.2132294,0.1312181,0.04100565,0.3116429,0.03280452,0.2460339,0.3034418,0.1722237,0.1312181,0.5330735,0.1066147,0.05740791,0.123017,0.3198441
potato006.png,p,0.1141506,0.04150932,0.1764146,0.2801879,0.05188666,0.4047159,0.5396212,0.217924,0.1037733,0.2283013,0.07264132,0.02075466,0.1660373,0.1141506,0.124528,0.3216973,0.04150932,0.2594333,0.1452826,0.2283013
potato007.png,p,0.2948532,0.277162,0.182809,0.371515,0.1651178,0.1297354,0.1120442,0.08845595,0.2358825,0.08255888,0.4010003,0.3184414,0.05897063,0.1533236,0.1769119,0.1356324,0.2417796,0.3302355,0.06486769,0.1651178
potato008.png,p,0.0946852,0.1075968,0.2926633,0.1205084,0.370133,0.1075968,0.1979782,0.1291162,0.1463317,0.3486137,0.271144,0.2108898,0.1850665,0.4303873,0.202282,0.1893704,0.1592433,0.0946852,0.271144,0.09898908
potato009.png,p,0.148806,0.2405697,0.1587264,0.3521741,0.07936318,0.3050523,0.1438458,0.03224129,0.2405697,0.08928359,0.1463259,0.09920398,0.2827314,0.1066443,0.07688309,0.198408,0.2108085,0.5803433,0.1016841,0.1562463
potato010.png,p,0.06045618,0.1171338,0.2418247,0.09068426,0.3589585,0.1020198,0.2985024,0.2380462,0.2644958,0.3249519,0.3816296,0.17759,0.09068426,0.1964826,0.2796098,0.03778511,0.1473619,0.01511404,0.3514015,0.07934874
potato011.png,p,0.07350997,0.1537027,0.2940399,0.2405781,0.2405781,0.1069236,0.5078871,0.2004817,0.2205299,0.3207708,0.2940399,0.120289,0.02004817,0.1470199,0.2873572,0.08687542,0.1336545,0.01336545,0.2205299,0.1670681
potato012.png,p,0.2358356,0.2277033,0.2819184,0.2222818,0.3036045,0.2873399,0.2331248,0.2954722,0.1246947,0.2249926,0.1490915,0.1897528,0.1789098,0.2683646,0.2141496,0.1409592,0.1816205,0.09758714,0.2521001,0.2168603
potato013.png,p,0.09406969,0.2570355,0.2490859,0.2623352,0.1444169,0.2755844,0.2292121,0.158991,0.17754,0.1894643,0.2159628,0.1616409,0.2371616,0.1536913,0.2649851,0.3577298,0.2424613,0.2159628,0.2053634,0.2318619
potato014.png,p,0.07341222,0.0524373,0.251699,0.1258495,0.3565736,0.07341222,0.4509608,0.1992617,0.06292476,0.1887743,0.0524373,0.1677994,0.1782868,0.3985235,0.1468244,0.3565736,0.06292476,0.1887743,0.272674,0.1153621
potato015.png,p,0.1233937,0.2034328,0.2267776,0.2834719,0.2467873,0.2467873,0.2901419,0.2434524,0.183423,0.2267776,0.1634132,0.183423,0.1233937,0.3234915,0.2234426,0.2000978,0.2334475,0.05335943,0.2667971,0.2501223
potato016.png,p,0.07774118,0.1949331,0.4049503,0.1253141,0.1427189,0.1287951,0.3678202,0.1589633,0.2297426,0.3353313,0.2390251,0.2483076,0.0580158,0.2541092,0.2912393,0.08702371,0.1891315,0.05453485,0.268033,0.154322
potato017.png,p,0.01426535,0.04279605,0.1854495,0.2139802,0.1711842,0.1569188,0.1569188,0.0855921,0.5420833,0.1569188,0.2139802,0.0285307,0.1141228,0.0285307,0.285307,0.4564912,0.285307,0.1141228,0.09985745,0.2425109
potato018.png,p,0.2448761,0.1993178,0.330298,0.2306391,0.1566068,0.2562657,0.3217559,0.179386,0.179386,0.2875871,0.1679964,0.1708438,0.1252855,0.2477235,0.2135548,0.1623016,0.1623016,0.2050126,0.2875871,0.1993178
potato019.png,p,0.1738574,0.3734714,0.2575665,0.2253707,0.1030266,0.1513203,0.2060532,0.1030266,0.3283972,0.09658743,0.2543469,0.4249847,0.1159049,0.1931749,0.08048952,0.1545399,0.1255637,0.3863497,0.07726994,0.1094658
potato020.png,p,0.1314352,0.208982,0.399563,0.1918954,0.2010959,0.1761232,0.306244,0.1800662,0.1826949,0.346989,0.2615561,0.2116107,0.08017548,0.1984672,0.2760139,0.1314352,0.1577222,0.0906903,0.3167589,0.07228937
potato021.png,p,0.1502178,0.190599,0.3634302,0.2616698,0.1728313,0.1437569,0.3440473,0.190599,0.2439021,0.3149729,0.1679855,0.09368423,0.1195282,0.1486026,0.282668,0.1631398,0.1970599,0.1292196,0.3311253,0.177677
potato022.png,p,0.1248141,0.2983057,0.1884693,0.3182759,0.09985127,0.3132834,0.2408912,0.09111428,0.07488845,0.1635064,0.1410399,0.2621096,0.2521245,0.2558689,0.1984544,0.3519757,0.1809804,0.2408912,0.1722434,0.2246653
potato023.png,p,0.1310787,0.2816906,0.2976257,0.2642135,0.1094892,0.1778558,0.3444028,0.1542102,0.2040715,0.3228134,0.1336488,0.2076697,0.1310787,0.1922487,0.2158943,0.287345,0.2251469,0.1387892,0.2678117,0.1650049
potato024.png,p,0.2121559,0.3411467,0.178211,0.2002752,0.151055,0.2834403,0.191789,0.1289908,0.2444036,0.1459633,0.164633,0.178211,0.2630734,0.1765137,0.191789,0.2647706,0.1900917,0.3886697,0.08655962,0.2613761
potato025.png,p,0.154686,0.1344757,0.3544563,0.1834467,0.2230898,0.1919972,0.3427965,0.1655684,0.1476901,0.3179224,0.1570179,0.1748962,0.08628212,0.2611783,0.3093719,0.1795601,0.184224,0.07306774,0.3529016,0.1469128
potato026.png,p,0.1388213,0.1655177,0.1815355,0.1815355,0.06407135,0.09610703,0.08542847,0.08542847,0.2509461,0.02135712,0.1174641,0.1922141,0.3203568,0.09610703,0.05339279,0.06407135,0.1388213,0.7474991,0.08542847,0.2028926
potato027.png,p,0.1737443,0.4019457,0.2774722,0.1011347,0.1529987,0.09076194,0.3085906,0.09076194,0.1348463,0.2593198,0.339709,0.3993526,0.06482996,0.1089143,0.313777,0.1115075,0.07001635,0.2178287,0.1633715,0.1400327
potato028.png,p,0.2094909,0.2333569,0.2704819,0.2731336,0.1670623,0.2254016,0.2651783,0.2227498,0.2731336,0.1670623,0.2015355,0.2466158,0.2280533,0.1856248,0.1882766,0.3076068,0.2094909,0.2041873,0.1670623,0.1458481
potato029.png,p,0.1941963,0.3168465,0.214638,0.1175399,0.3986134,0.143092,0.3117361,0.2453006,0.03066257,0.250411,0.2657423,0.143092,0.1124294,0.2453006,0.3475091,0.07665642,0.1533128,0.05621471,0.2657423,0.1175399
potato030.png,p,0.3376115,0.230564,0.2635017,0.3376115,0.07410984,0.172923,0.1070476,0.2717361,0.3623148,0.1399853,0.2058607,0.3293771,0.0905787,0.1399853,0.1564541,0.115282,0.2964394,0.2635017,0.04117214,0.04940657
potato031.png,p,0.08084393,0.2328305,0.3524795,0.2166618,0.1131815,0.2198955,0.3880509,0.1358178,0.1422853,0.3751159,0.1422853,0.200493,0.03233757,0.333077,0.2587006,0.2069605,0.1002465,0.03880509,0.2748694,0.08731145
potato032.png,p,0.01193695,0.01193695,0.1671173,0.05968474,0.5371627,0,0.2745498,0.1790542,0.1432434,0.3939193,0.1074325,0.1313064,0.08355863,0.3819823,0.2029281,0.03581084,0.1551803,0.0238739,0.3103606,0.226802
potato033.png,p,0.1583284,0.3166569,0.2374927,0.1979105,0.300824,0.1952717,0.3087404,0.2216598,0.08971944,0.2770748,0.3377673,0.205827,0.1108299,0.137218,0.2717972,0.1662448,0.1768001,0.0738866,0.2586031,0.1688837
potato034.png,p,0.09908833,0.4401366,0.2096986,0.3133956,0.1267409,0.3087869,0.1889592,0.07834891,0.3018737,0.1267409,0.2465686,0.2626993,0.1474803,0.182046,0.1221321,0.2327424,0.2073942,0.2857431,0.08295767,0.09217519
potato035.png,p,0.141773,0.3656252,0.2283292,0.2596685,0.09998731,0.2507144,0.210421,0.1298343,0.2939925,0.1402807,0.1537118,0.1044643,0.2775767,0.1402807,0.141773,0.3208548,0.2148981,0.3521941,0.176097,0.176097
potato036.png,p,0.07757376,0.1698236,0.3669029,0.2180452,0.2054656,0.1677271,0.3878688,0.1593407,0.2012725,0.3123916,0.274653,0.1362782,0.06289764,0.1803066,0.3040053,0.1257953,0.1551475,0.05451129,0.3144882,0.1844998
