Name,Class,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
potato001.png,p,0.3655016,0.2559785,0.2483373,0.3744163,0.4355454,0.3731427,0.3018254,0.2266874,0.3234753,0.1515494
potato002.png,p,0.1814659,0.320234,0.1174191,0.2668616,0.3486992,0.5194907,0.252629,0.3024432,0.3095595,0.3700482
potato003.png,p,0.5490372,0.1861143,0.3063131,0.2055012,0.4552045,0.1364838,0.2264391,0.2791714,0.3962684,0.1256271
potato004.png,p,0.2645328,0.2705449,0.4268597,0.2525086,0.5350777,0.2404843,0.222448,0.1923875,0.4148355,0.09018163
potato005.png,p,0.2292176,0.5079957,0.2849732,0.3345337,0.5947266,0.266388,0.1300965,0.06195069,0.1362915,0.179657
potato006.png,p,0.364847,0.356555,0.2653432,0.5306865,0.339971,0.348263,0.1077957,0.1326716,0.1658395,0.3068031
potato007.png,p,0.1933921,0.1450441,0.2021827,0.3648078,0.3692031,0.3340409,0.2109732,0.4351323,0.2373449,0.479085
potato008.png,p,0.3342347,0.2467714,0.4248216,0.1343186,0.4935428,0.2186582,0.2280293,0.3498531,0.3904611,0.1030817
potato009.png,p,0.2281402,0.3650243,0.1368841,0.5057108,0.2072273,0.3250998,0.2965823,0.180611,0.1235759,0.5057108
potato010.png,p,0.3973291,0.1519984,0.30933,0.1359985,0.375996,0.154665,0.1626649,0.5839938,0.4133289,0.0346663
potato011.png,p,0.4967044,0.09074408,0.2674562,0.1958162,0.5014805,0.2149202,0.1623841,0.3534243,0.4298404,0.03820803
potato012.png,p,0.3495106,0.336214,0.402697,0.3495106,0.4178931,0.2526354,0.1747553,0.2051475,0.3761038,0.1671572
potato013.png,p,0.2732642,0.3599089,0.2456521,0.3846645,0.3818081,0.3970424,0.2561257,0.2656471,0.278977,0.2646949
potato014.png,p,0.3315872,0.21101,0.5124529,0.1733297,0.5727414,0.07536072,0.1884018,0.06028857,0.3541954,0.2336182
potato015.png,p,0.3409758,0.2604676,0.4049087,0.3599189,0.4049087,0.3220327,0.2486282,0.2344208,0.3504473,0.1231301
potato016.png,p,0.4860862,0.1329397,0.3621179,0.1737187,0.5309432,0.2438587,0.1851369,0.3409128,0.2976871,0.06524648
potato017.png,p,0.438951,0.2588685,0.07878608,0.2588685,0.146317,0.1350618,0.5402474,0.292634,0.4276958,0.2588685
potato018.png,p,0.365219,0.3226101,0.3104362,0.3388421,0.4544947,0.2475373,0.1724645,0.2921752,0.2942042,0.2860882
potato019.png,p,0.2593401,0.1810487,0.3009323,0.3033789,0.5088937,0.3498645,0.2544469,0.2642333,0.1492429,0.4232626
potato020.png,p,0.4639456,0.1353175,0.3286282,0.2476218,0.5090514,0.2651118,0.1445227,0.3820187,0.2964097,0.1141453
potato021.png,p,0.4873092,0.2442389,0.300332,0.2594308,0.4405649,0.2652738,0.267611,0.2956576,0.3120181,0.1565934
potato022.png,p,0.2129994,0.3567741,0.3044117,0.4677113,0.4366488,0.3967114,0.1739495,0.1686246,0.205012,0.2591493
potato023.png,p,0.3637325,0.2207984,0.3004906,0.3165752,0.5114189,0.3937085,0.2613756,0.2284752,0.2186051,0.2087349
potato024.png,p,0.2067533,0.4000492,0.2593591,0.3829217,0.3217521,0.4477615,0.2593591,0.1969661,0.2532421,0.3303159
potato025.png,p,0.4274006,0.1730613,0.3494401,0.2786674,0.5042553,0.2355403,0.1857783,0.3007839,0.3726624,0.1183231
potato026.png,p,0.1929253,0.4844568,0.1371913,0.2272231,0.2486592,0.1371913,0.2786698,0.1629147,0.0900318,0.6816693
potato027.png,p,0.2713776,0.156419,0.2336862,0.1545344,0.6030613,0.3976435,0.1149585,0.3505293,0.3316837,0.2355708
potato028.png,p,0.2891439,0.3552879,0.2929235,0.3458388,0.3855252,0.3496184,0.3288303,0.2626863,0.2305592,0.2891439
